timestamp,cpu_percent,memory_gb,latency_ms,error_rate,throughput_rps
2026-05-01T13:00:00Z,33.00,1.97,106.6,0.0013,49.06
2026-05-01T13:01:00Z,36.02,1.97,121.8,0.0011,48.52
2026-05-01T13:02:00Z,39.05,2.03,109.9,0.0020,49.74
2026-05-01T13:03:00Z,31.24,2.05,131.2,0.0015,48.52
2026-05-01T13:04:00Z,39.82,2.03,112.2,0.0021,52.64
2026-05-01T13:05:00Z,35.98,1.95,114.4,0.0020,51.14
2026-05-01T13:06:00Z,33.72,2.02,105.6,0.0023,49.97
2026-05-01T13:07:00Z,30.29,2.00,131.7,0.0019,48.15
2026-05-01T13:08:00Z,36.01,2.02,123.7,0.0027,48.04
2026-05-01T13:09:00Z,36.12,1.98,134.1,0.0019,52.98
2026-05-01T13:10:00Z,36.77,2.05,125.7,0.0016,49.37
2026-05-01T13:11:00Z,34.82,1.97,127.9,0.0020,50.11
2026-05-01T13:12:00Z,37.65,1.97,117.2,0.0019,50.17
2026-05-01T13:13:00Z,37.66,1.96,132.1,0.0026,49.35
2026-05-01T13:14:00Z,31.98,2.13,108.6,0.0010,51.47
2026-05-01T13:15:00Z,35.16,2.19,114.1,0.0026,48.82
2026-05-01T13:16:00Z,38.25,2.31,117.1,0.0017,50.40
2026-05-01T13:17:00Z,32.97,2.40,128.3,0.0014,52.78
2026-05-01T13:18:00Z,36.50,2.53,129.5,0.0029,48.72
2026-05-01T13:19:00Z,30.48,2.56,124.6,0.0018,50.25
2026-05-01T13:20:00Z,35.31,2.65,107.3,0.0014,48.50
2026-05-01T13:21:00Z,39.17,2.78,120.2,0.0021,51.74
2026-05-01T13:22:00Z,38.58,2.91,129.7,0.0017,48.93
2026-05-01T13:23:00Z,36.19,2.98,115.6,0.0020,50.59
2026-05-01T13:24:00Z,32.18,3.05,107.4,0.0013,47.54
2026-05-01T13:25:00Z,39.50,3.24,109.0,0.0016,52.35
2026-05-01T13:26:00Z,35.14,3.26,114.4,0.0019,48.60
2026-05-01T13:27:00Z,39.76,3.43,118.9,0.0020,47.56
2026-05-01T13:28:00Z,37.28,3.53,119.4,0.0026,52.05
2026-05-01T13:29:00Z,32.39,3.62,110.9,0.0015,48.97
2026-05-01T13:30:00Z,30.20,3.74,123.5,0.0028,50.31
2026-05-01T13:31:00Z,33.78,3.78,114.6,0.0018,49.49
2026-05-01T13:32:00Z,35.75,3.93,125.1,0.0014,51.99
2026-05-01T13:33:00Z,32.81,4.02,115.9,0.0025,47.08
2026-05-01T13:34:00Z,39.38,4.06,114.2,0.0023,52.95
2026-05-01T13:35:00Z,33.69,4.24,125.1,0.0023,47.84
2026-05-01T13:36:00Z,38.93,4.28,135.0,0.0017,49.17
2026-05-01T13:37:00Z,38.00,4.39,106.9,0.0026,48.32
2026-05-01T13:38:00Z,34.55,4.53,113.4,0.0030,48.04
2026-05-01T13:39:00Z,36.02,4.58,125.2,0.0012,51.93
2026-05-01T13:40:00Z,38.98,4.70,110.2,0.0030,47.69
2026-05-01T13:41:00Z,32.12,4.78,111.3,0.0017,52.26
2026-05-01T13:42:00Z,37.15,4.91,129.8,0.0017,51.91
2026-05-01T13:43:00Z,34.23,4.96,134.6,0.0023,51.49
2026-05-01T13:44:00Z,38.36,5.05,125.8,0.0020,48.49
2026-05-01T13:45:00Z,34.55,5.25,120.2,0.0029,49.00
2026-05-01T13:46:00Z,30.43,5.26,127.2,0.0015,51.04
2026-05-01T13:47:00Z,30.18,5.41,120.1,0.0025,51.19
2026-05-01T13:48:00Z,30.52,5.50,134.1,0.0023,49.07
2026-05-01T13:49:00Z,33.51,5.64,128.1,0.0018,47.79
2026-05-01T13:50:00Z,34.31,5.69,105.7,0.0023,47.57
2026-05-01T13:51:00Z,34.54,5.84,126.7,0.0025,50.84
2026-05-01T13:52:00Z,31.19,5.87,112.2,0.0010,50.21
2026-05-01T13:53:00Z,37.83,5.99,111.8,0.0025,48.63
2026-05-01T13:54:00Z,33.20,6.13,108.8,0.0010,51.04
2026-05-01T13:55:00Z,37.31,6.16,134.7,0.0026,48.26
2026-05-01T13:56:00Z,34.72,6.31,133.0,0.0011,49.98
2026-05-01T13:57:00Z,35.82,6.35,130.6,0.0024,52.09
2026-05-01T13:58:00Z,36.32,6.47,113.1,0.0025,52.67
2026-05-01T13:59:00Z,30.25,6.62,109.8,0.0018,48.98
2026-05-01T14:00:00Z,39.39,6.69,126.3,0.0024,51.35
2026-05-01T14:01:00Z,36.07,6.79,109.4,0.0020,49.23
2026-05-01T14:02:00Z,36.91,6.93,127.0,0.0019,52.01
2026-05-01T14:03:00Z,37.73,7.03,122.8,0.0022,48.25
2026-05-01T14:04:00Z,35.39,7.05,125.5,0.0012,50.05
2026-05-01T14:05:00Z,31.87,7.23,121.4,0.0021,52.28
2026-05-01T14:06:00Z,33.40,7.34,105.5,0.0027,48.08
2026-05-01T14:07:00Z,35.18,7.44,120.3,0.0022,47.07
2026-05-01T14:08:00Z,38.14,7.54,121.8,0.0021,50.79
2026-05-01T14:09:00Z,34.04,7.61,128.0,0.0020,51.76
2026-05-01T14:10:00Z,32.92,7.72,105.5,0.0019,52.21
2026-05-01T14:11:00Z,36.40,7.77,114.6,0.0025,47.02
2026-05-01T14:12:00Z,35.34,7.87,109.7,0.0012,50.83
2026-05-01T14:13:00Z,30.53,7.89,120.6,0.0026,50.48
2026-05-01T14:14:00Z,33.41,7.94,124.9,0.0011,52.89
2026-05-01T14:15:00Z,38.94,7.94,106.4,0.0018,52.47
2026-05-01T14:16:00Z,30.21,7.94,134.4,0.0014,49.39
2026-05-01T14:17:00Z,34.95,7.88,121.0,0.0020,50.68
2026-05-01T14:18:00Z,38.25,7.85,113.9,0.0026,51.67
2026-05-01T14:19:00Z,35.74,7.85,119.3,0.0023,47.48
2026-05-01T14:20:00Z,31.21,7.90,123.7,0.0023,48.09
2026-05-01T14:21:00Z,31.80,7.93,127.7,0.0020,51.09
2026-05-01T14:22:00Z,36.30,7.91,127.0,0.0022,52.57
2026-05-01T14:23:00Z,39.82,7.94,107.5,0.0023,49.49
2026-05-01T14:24:00Z,34.89,7.89,119.5,0.0030,50.44
2026-05-01T14:25:00Z,31.35,7.88,118.3,0.0018,51.21
2026-05-01T14:26:00Z,39.01,7.85,112.4,0.0029,51.57
2026-05-01T14:27:00Z,33.86,7.87,124.5,0.0012,50.81
2026-05-01T14:28:00Z,39.89,7.90,110.4,0.0017,52.61
2026-05-01T14:29:00Z,38.07,7.86,133.6,0.0016,49.30
2026-05-01T14:30:00Z,30.38,7.89,125.9,0.0014,49.27
2026-05-01T14:31:00Z,32.35,7.93,109.5,0.0027,49.39
2026-05-01T14:32:00Z,33.82,7.86,108.9,0.0030,51.44
2026-05-01T14:33:00Z,30.48,7.95,119.2,0.0011,49.36
2026-05-01T14:34:00Z,39.08,7.89,133.8,0.0015,50.17
2026-05-01T14:35:00Z,35.43,7.94,109.9,0.0015,47.24
2026-05-01T14:36:00Z,36.61,7.90,129.2,0.0011,49.83
2026-05-01T14:37:00Z,37.26,7.93,130.0,0.0024,50.93
2026-05-01T14:38:00Z,32.71,7.90,127.0,0.0025,50.83
2026-05-01T14:39:00Z,33.70,7.92,127.2,0.0021,51.54
2026-05-01T14:40:00Z,37.32,7.89,105.6,0.0015,49.39
2026-05-01T14:41:00Z,37.50,7.90,126.8,0.0023,52.53
2026-05-01T14:42:00Z,38.33,7.93,132.9,0.0030,47.12
2026-05-01T14:43:00Z,36.19,7.91,131.8,0.0020,52.03
2026-05-01T14:44:00Z,36.33,7.87,952.5,0.1820,46.69
2026-05-01T14:45:00Z,34.62,7.92,1710.2,0.3620,47.63
2026-05-01T14:46:00Z,42.89,7.90,2498.9,0.5420,42.16
2026-05-01T14:47:00Z,42.12,7.94,3272.5,0.7220,42.27
2026-05-01T14:48:00Z,37.82,7.85,4116.3,0.8500,37.14
2026-05-01T14:49:00Z,42.50,7.89,4226.9,0.8500,36.57
2026-05-01T14:50:00Z,48.26,7.88,4231.2,0.8500,35.60
2026-05-01T14:51:00Z,51.48,7.88,4221.1,0.8500,32.26
2026-05-01T14:52:00Z,48.21,7.86,4158.1,0.8500,33.91
2026-05-01T14:53:00Z,45.53,7.93,4213.5,0.8500,32.06
2026-05-01T14:54:00Z,51.25,7.88,4166.4,0.8500,30.75
2026-05-01T14:55:00Z,54.85,7.95,4245.7,0.8500,28.19
