timestamp,cpu_percent,memory_gb,latency_ms,error_rate,throughput_rps
2026-05-01T13:30:00Z,29.09,3.17,126.9,0.0013,40.01
2026-05-01T13:31:00Z,31.15,3.18,132.8,0.0006,36.37
2026-05-01T13:32:00Z,30.41,3.23,127.3,0.0013,39.23
2026-05-01T13:33:00Z,31.84,3.21,96.8,0.0011,37.13
2026-05-01T13:34:00Z,30.04,3.24,89.1,0.0006,36.00
2026-05-01T13:35:00Z,27.50,3.25,84.6,0.0005,38.24
2026-05-01T13:36:00Z,31.91,3.22,112.5,0.0008,35.30
2026-05-01T13:37:00Z,29.44,3.19,127.3,0.0013,37.05
2026-05-01T13:38:00Z,32.00,3.22,132.0,0.0005,39.34
2026-05-01T13:39:00Z,28.81,3.19,133.4,0.0014,39.87
2026-05-01T13:40:00Z,29.35,3.19,115.6,0.0013,37.90
2026-05-01T13:41:00Z,28.84,3.20,81.0,0.0010,38.60
2026-05-01T13:42:00Z,31.36,3.17,97.8,0.0014,36.58
2026-05-01T13:43:00Z,30.64,3.20,106.6,0.0014,38.41
2026-05-01T13:44:00Z,29.27,3.15,103.7,0.0008,39.16
2026-05-01T13:45:00Z,28.96,3.21,81.6,0.0014,37.09
2026-05-01T13:46:00Z,32.56,3.18,125.4,0.0009,39.54
2026-05-01T13:47:00Z,29.02,3.16,138.4,0.0014,39.26
2026-05-01T13:48:00Z,29.60,3.20,117.8,0.0007,36.66
2026-05-01T13:49:00Z,28.88,3.20,133.0,0.0014,38.87
2026-05-01T13:50:00Z,30.08,3.24,120.9,0.0006,40.64
2026-05-01T13:51:00Z,31.97,3.17,88.2,0.0008,39.32
2026-05-01T13:52:00Z,32.88,3.18,137.6,0.0014,40.88
2026-05-01T13:53:00Z,27.54,3.16,134.2,0.0008,38.07
2026-05-01T13:54:00Z,30.90,3.16,88.6,0.0012,38.75
2026-05-01T13:55:00Z,29.21,3.24,81.5,0.0009,37.48
2026-05-01T13:56:00Z,29.00,3.21,114.3,0.0012,35.88
2026-05-01T13:57:00Z,32.99,3.16,107.7,0.0008,37.25
2026-05-01T13:58:00Z,29.37,3.25,111.9,0.0009,38.59
2026-05-01T13:59:00Z,27.94,3.20,118.3,0.0006,39.19
2026-05-01T14:00:00Z,29.63,3.22,127.6,0.0006,38.04
2026-05-01T14:01:00Z,33.00,3.24,87.0,0.0006,35.24
2026-05-01T14:02:00Z,30.00,3.18,90.5,0.0010,38.49
2026-05-01T14:03:00Z,32.03,3.18,123.5,0.0005,39.01
2026-05-01T14:04:00Z,33.00,3.17,116.6,0.0010,37.74
