timestamp,cpu_percent,memory_gb,latency_ms,error_rate,throughput_rps
2026-05-01T14:00:00Z,42.03,4.60,125.7,0.0015,84.94
2026-05-01T14:01:00Z,37.97,4.40,113.6,0.0012,88.33
2026-05-01T14:02:00Z,39.21,4.49,111.2,0.0009,85.55
2026-05-01T14:03:00Z,42.83,4.53,75.9,0.0014,84.45
2026-05-01T14:04:00Z,40.12,4.45,94.8,0.0013,80.07
2026-05-01T14:05:00Z,37.62,4.41,81.0,0.0012,88.90
2026-05-01T14:06:00Z,41.04,4.48,101.5,0.0007,84.48
2026-05-01T14:07:00Z,42.86,4.53,136.4,0.0006,84.49
2026-05-01T14:08:00Z,41.64,4.43,132.4,0.0005,80.40
2026-05-01T14:09:00Z,41.34,4.58,95.5,0.0010,83.86
2026-05-01T14:10:00Z,41.92,4.59,80.1,0.0009,82.05
2026-05-01T14:11:00Z,37.81,4.46,77.6,0.0013,81.83
2026-05-01T14:12:00Z,39.07,4.49,139.3,0.0007,85.65
2026-05-01T14:13:00Z,39.70,4.47,87.4,0.0009,83.62
2026-05-01T14:14:00Z,38.45,4.47,126.2,0.0013,82.62
2026-05-01T14:15:00Z,40.66,4.44,105.9,0.0010,83.28
2026-05-01T14:16:00Z,37.70,4.45,114.7,0.0014,83.04
2026-05-01T14:17:00Z,41.04,4.47,109.4,0.0006,83.25
2026-05-01T14:18:00Z,37.94,4.48,139.3,0.0007,86.16
2026-05-01T14:19:00Z,39.62,4.50,134.4,0.0008,81.34
2026-05-01T14:20:00Z,38.28,4.56,89.3,0.0010,83.70
2026-05-01T14:21:00Z,38.14,4.57,137.7,0.0014,89.62
2026-05-01T14:22:00Z,42.80,4.59,136.6,0.0014,83.81
2026-05-01T14:23:00Z,42.18,4.42,95.2,0.0010,87.12
2026-05-01T14:24:00Z,42.27,4.51,89.1,0.0010,84.66
2026-05-01T14:25:00Z,41.03,4.40,81.6,0.0011,88.26
2026-05-01T14:26:00Z,41.01,4.56,113.6,0.0013,86.02
2026-05-01T14:27:00Z,41.67,4.41,78.0,0.0010,85.72
2026-05-01T14:28:00Z,42.07,4.47,107.9,0.0014,89.31
2026-05-01T14:29:00Z,38.37,4.57,107.4,0.0006,84.38
2026-05-01T14:30:00Z,37.42,4.41,134.8,0.0015,84.94
2026-05-01T14:31:00Z,42.00,4.59,109.2,0.0010,83.37
2026-05-01T14:32:00Z,38.46,4.49,114.6,0.0007,81.67
2026-05-01T14:33:00Z,42.78,4.45,72.6,0.0007,80.38
2026-05-01T14:34:00Z,38.29,4.51,133.6,0.0006,80.51
2026-05-01T14:35:00Z,52.92,4.49,294.3,0.0007,88.02
2026-05-01T14:36:00Z,54.84,4.58,459.6,0.0012,84.42
2026-05-01T14:37:00Z,52.44,4.41,329.4,0.0005,86.57
2026-05-01T14:38:00Z,56.23,4.51,276.9,0.0009,83.16
2026-05-01T14:39:00Z,52.91,4.44,465.0,0.0007,80.48
2026-05-01T14:40:00Z,58.49,4.52,538.8,0.0100,87.59
2026-05-01T14:41:00Z,63.59,4.43,1273.9,0.0800,76.85
2026-05-01T14:42:00Z,65.06,4.41,1839.3,0.1500,74.93
2026-05-01T14:43:00Z,70.67,4.43,2423.4,0.2200,65.69
2026-05-01T14:44:00Z,74.57,4.50,3009.8,0.2900,62.60
2026-05-01T14:45:00Z,82.31,4.44,3595.1,0.3600,52.24
2026-05-01T14:46:00Z,83.56,4.55,4245.9,0.4300,46.11
2026-05-01T14:47:00Z,90.24,4.59,4836.3,0.5000,42.08
2026-05-01T14:48:00Z,91.45,4.47,5470.6,0.5700,35.86
2026-05-01T14:49:00Z,96.80,4.40,6026.4,0.6400,30.99
2026-05-01T14:50:00Z,97.58,4.59,6639.5,0.7100,22.11
2026-05-01T14:51:00Z,93.86,4.47,7199.1,0.7800,19.63
2026-05-01T14:52:00Z,98.55,4.58,7796.3,0.8500,12.98
2026-05-01T14:53:00Z,93.72,4.59,8386.8,0.9200,8.72
2026-05-01T14:54:00Z,93.75,4.58,9059.3,0.9200,8.25
2026-05-01T14:55:00Z,97.46,4.58,8987.2,0.9200,7.28
2026-05-01T14:56:00Z,94.15,4.48,9030.8,0.9200,10.46
2026-05-01T14:57:00Z,98.84,4.48,8909.9,0.9200,5.99
2026-05-01T14:58:00Z,96.25,4.43,9051.4,0.9200,7.13
2026-05-01T14:59:00Z,95.73,4.44,9058.7,0.9200,8.34
2026-05-01T15:00:00Z,94.07,4.55,8921.4,0.9200,9.58
2026-05-01T15:01:00Z,93.45,4.44,9011.7,0.9200,9.53
2026-05-01T15:02:00Z,95.69,4.43,9077.1,0.9200,6.70
2026-05-01T15:03:00Z,95.42,4.55,9097.2,0.9200,5.83
2026-05-01T15:04:00Z,98.92,4.43,8965.5,0.9200,6.81
2026-05-01T15:05:00Z,98.41,4.53,8949.3,0.9200,7.42
2026-05-01T15:06:00Z,96.94,4.55,9034.2,0.9200,8.70
2026-05-01T15:07:00Z,93.82,4.48,8920.5,0.9200,7.89
2026-05-01T15:08:00Z,98.22,4.48,9093.5,0.9200,5.02
2026-05-01T15:09:00Z,97.83,4.60,8962.8,0.9200,9.18
2026-05-01T15:10:00Z,96.36,4.56,9017.8,0.9200,7.75
2026-05-01T15:11:00Z,96.53,4.51,9063.1,0.9200,6.87
2026-05-01T15:12:00Z,93.64,4.54,8980.4,0.9200,7.23
2026-05-01T15:13:00Z,95.32,4.53,9052.8,0.9200,7.18
2026-05-01T15:14:00Z,95.56,4.53,9012.2,0.9200,9.75
